sector,banks,dealers,foreigners_official,households_residual,insurers,money_market_funds,mutual_funds_etfs,nonfinancial_corporates,other_financial,pensions,state_local_governments
banks,0.0,0.17659957570683615,1.734508563996041,1.9821068242995796,0.05632805970603538,1.977235130461965,0.2574718551063767,0.05922564412851106,0.06127372730802105,0.0400260230242967,0.02040030407030935
dealers,0.17659957570683615,0.0,1.9823700919182485,1.7054935056553275,0.03625295920067728,1.7753246074971467,0.7277811603189492,0.03326261758732885,0.0316559304053895,0.05337690186028521,0.10354872872936338
foreigners_official,1.734508563996041,1.9823700919182485,0.0,0.3958231334405027,1.9166360117415742,0.34389650733469723,1.1121169379033506,1.9187158721793311,1.9204376120391045,1.8881842254363483,1.840837411581192
households_residual,1.9821068242995796,1.7054935056553275,0.3958231334405027,0.0,1.8676835852742295,0.03749508560452364,1.8360210774179058,1.8629221368527786,1.8599641961446118,1.8906650903115014,1.937937717872582
insurers,0.05632805970603538,0.03625295920067728,1.9166360117415742,1.8676835852742295,0.0,1.8983140016587168,0.5059659870163749,0.00019271817318478046,0.00041604016000262867,0.003229286792266195,0.019580187030121876
money_market_funds,1.977235130461965,1.7753246074971467,0.34389650733469723,0.03749508560452364,1.8983140016587168,0.0,1.808219200035396,1.898080633073448,1.8966290590910782,1.9250491737490623,1.9239570226929406
mutual_funds_etfs,0.2574718551063767,0.7277811603189492,1.1121169379033506,1.8360210774179058,0.5059659870163749,1.808219200035396,0.0,0.5086853317603506,0.5115369746067772,0.4589735854525121,0.3947625572028516
nonfinancial_corporates,0.05922564412851106,0.03326261758732885,1.9187158721793311,1.8629221368527786,0.00019271817318478046,1.898080633073448,0.5086853317603506,0.0,4.887384539997708e-05,0.003726130848001885,0.022602744551411313
other_financial,0.06127372730802105,0.0316559304053895,1.9204376120391045,1.8599641961446118,0.00041604016000262867,1.8966290590910782,0.5115369746067772,4.887384539997708e-05,0.0,0.004409919647685334,0.024070020985689777
pensions,0.0400260230242967,0.05337690186028521,1.8881842254363483,1.8906650903115014,0.003229286792266195,1.9250491737490623,0.4589735854525121,0.003726130848001885,0.004409919647685334,0.0,0.017706411464602834
state_local_governments,0.02040030407030935,0.10354872872936338,1.840837411581192,1.937937717872582,0.019580187030121876,1.9239570226929406,0.3947625572028516,0.022602744551411313,0.024070020985689777,0.017706411464602834,0.0
