sector,banks,dealers,foreigners_official,foreigners_private,households_residual,insurers,money_market_funds,mutual_funds_etfs,nonfinancial_corporates,other_financial,pensions,state_local_governments
banks,0.0,0.2789093321161097,1.851745795545888,1.59860878186153,1.726906377294428,0.17544940000107445,1.8004173555870828,0.14129734087542,0.20532733379310253,0.1884790586395637,0.11755626353839299,0.04724414859129977
dealers,0.2789093321161097,0.0,1.2722785219756392,1.9807170905517932,1.7247195729593414,0.028776790799276974,1.8945660968760212,0.7192365166594741,0.022470768356194437,0.022209897463319472,0.05057050555503528,0.13242958580950226
foreigners_official,1.851745795545888,1.2722785219756392,0.0,0.8733225518280329,0.6050432425540593,1.4112869300001265,0.6008707426981681,1.9996235688104034,1.3654173253378858,1.3922894912804002,1.5061552930856,1.6641406819821776
foreigners_private,1.59860878186153,1.9807170905517932,0.8733225518280329,0.0,0.40121224642925346,1.9090278485437073,0.19542563151247527,1.1322864172707507,1.9216027332485976,1.9201060000265142,1.8775930737913957,1.7597745745154714
households_residual,1.726906377294428,1.7247195729593414,0.6050432425540593,0.40121224642925346,0.0,1.8535198954396161,0.0473212428049975,1.4175074825326177,1.8498016977987224,1.8426365587868117,1.8430436446547824,1.8648312766666222
insurers,0.17544940000107445,0.028776790799276974,1.4112869300001265,1.9090278485437073,1.8535198954396161,0.0,1.969638124295504,0.5761691461695226,0.001326709292147843,0.0005474966044894947,0.007706330160983987,0.04884456746787824
money_market_funds,1.8004173555870828,1.8945660968760212,0.6008707426981681,0.19542563151247527,0.0473212428049975,1.969638124295504,0.0,1.4170680327917435,1.967693077752797,1.9639599132301573,1.960420527216849,1.94073900660655
mutual_funds_etfs,0.14129734087542,0.7192365166594741,1.9996235688104034,1.1322864172707507,1.4175074825326177,0.5761691461695226,1.4170680327917435,0.0,0.6218071860226275,0.5955356188273246,0.4822608436227144,0.3239719151460181
nonfinancial_corporates,0.20532733379310253,0.022470768356194437,1.3654173253378858,1.9216027332485976,1.8498016977987224,0.001326709292147843,1.967693077752797,0.6218071860226275,0.0,0.0005958189711217088,0.015153690805492448,0.06516369902003294
other_financial,0.1884790586395637,0.022209897463319472,1.3922894912804002,1.9201060000265142,1.8426365587868117,0.0005474966044894947,1.9639599132301573,0.5955356188273246,0.0005958189711217088,0.0,0.01123534334870202,0.057076457618642884
pensions,0.11755626353839299,0.05057050555503528,1.5061552930856,1.8775930737913957,1.8430436446547824,0.007706330160983987,1.960420527216849,0.4822608436227144,0.015153690805492448,0.01123534334870202,0.0,0.024649871863368755
state_local_governments,0.04724414859129977,0.13242958580950226,1.6641406819821776,1.7597745745154714,1.8648312766666222,0.04884456746787824,1.94073900660655,0.3239719151460181,0.06516369902003294,0.057076457618642884,0.024649871863368755,0.0
