sector,mean_delta,volatility,share_of_total_change,share_of_total_holdings
banks,16556.41346153846,44812.82868173419,0.056131057216889456,0.07962458328170374
dealers,4982.057692307692,33874.38518507077,0.047071340295197404,0.022016549853569475
foreigners_official,845.5508766516062,371662.1645058166,0.15758433144469713,0.03149014396658091
foreigners_private,77673.6991233484,383702.35295252077,0.17438516858085376,0.3428959576728476
households_residual,24915.701923076922,140686.6536713429,0.1891634315869065,0.11951021498867206
insurers,4898.240384615385,18795.570622338768,0.021200313886430018,0.02595146559792833
money_market_funds,32802.36538461538,191925.5706287366,0.18690762103227146,0.14277618409809598
mutual_funds_etfs,21932.923076923078,43036.358125120634,0.06308701539703747,0.09667365257515967
nonfinancial_corporates,1616.451923076923,7880.562490248694,0.009749952359170717,0.00912022482403356
other_financial,4257.875,15780.066544513424,0.020491672643471657,0.019918869733390798
pensions,7908.326923076923,24790.979538816642,0.03324804842024583,0.04698050181083401
state_local_governments,13542.884615384615,39814.5264223874,0.04098004713682846,0.06304165159718389
